cell_id,group,cluster,c_gini,c_ploidy
SRR089529,D,1,0.1416,1.85
SRR089533,D,1,0.1496,1.8
SRR089550,D,1,0.1124,2
SRR089561,D,1,0.088,2.95
SRR089564,D,1,0.0786,2
SRR089568,D,1,0.0822,2
SRR089573,D,1,0.0906,4.05
SRR089577,D,1,0.0954,2
SRR089578,D,1,0.0922,1.95
SRR089580,D,1,0.0764,2
SRR089583,D,1,0.1126,2
SRR089586,D,1,0.0774,2
SRR089591,D,1,0.1104,2
SRR089592,D,1,0.0952,2
SRR089593,D,1,0.0712,2
SRR089594,D,1,0.0882,2
SRR089595,D,1,0.0798,2
SRR089596,D,1,0.0794,2
SRR089597,D,1,0.0714,2
SRR089598,D,1,0.0892,2
SRR089599,D,1,0.0994,2
SRR089600,D,1,0.0848,2
SRR089601,D,1,0.0814,2
SRR089602,D,1,0.112,1.95
SRR089603,D,1,0.1266,2
SRR089604,D,1,0.1054,2
SRR089605,D,1,0.0892,2
SRR089606,D,1,0.0828,3.95
SRR089607,D,1,0.0986,2
SRR089608,D,1,0.0978,2
SRR089609,D,1,0.103,2
SRR089610,D,1,0.0842,2
SRR089705,D,1,0.1088,2
SRR089706,D,1,0.1372,2
SRR089707,D,1,0.117,2
SRR089708,D,1,0.1052,2
SRR089709,D,1,0.124,2
SRR089710,D,1,0.088,2
SRR089711,D,1,0.0858,2
SRR089712,D,1,0.104,2
SRR089713,D,1,0.1042,2
SRR089714,D,1,0.091,2
SRR089715,D,1,0.1284,2
SRR089716,D,1,0.1028,2
SRR089719,D,1,0.0938,2
SRR089722,D,1,0.1016,2
SRR089730,D,1,0.0972,2
SRR089731,D,1,0.1092,2
SRR089733,D,1,0.0798,2
SRR089749,D,1,0.1252,1.95
SRR089750,D,1,0.0918,2
SRR089751,D,1,0.1106,2
SRR089752,D,1,0.1092,2
SRR089753,D,1,0.095,2
SRR089754,D,1,0.0978,2
SRR089755,D,1,0.1016,2
SRR089748,MA,3,0.209,4.25
SRR089756,MA,3,0.2058,4.15
SRR089757,MA,3,0.2212,4.1
SRR089817,MA,3,0.2046,4.45
SRR090126,MA,3,0.2114,4.25
SRR090129,MA,3,0.2084,4.25
SRR090130,MA,3,0.2038,4.25
SRR090131,MA,3,0.2062,4.2
SRR090133,MA,3,0.2056,4.25
SRR090135,MA,3,0.209,4.25
SRR090142,MA,3,0.2034,4.15
SRR090144,MA,3,0.2036,4.15
SRR090155,MA,3,0.2044,4.3
SRR090156,MA,3,0.1956,4.2
SRR090158,MA,3,0.201,4.2
SRR090159,MA,3,0.204,4.15
SRR090198,MA,3,0.2196,4.2
SRR090206,MA,3,0.2056,4.2
SRR090209,MA,3,0.2204,4.05
SRR090210,MA,3,0.213,4.15
SRR090211,MA,3,0.2342,3.95
SRR090212,MA,3,0.1948,4.15
SRR090213,MA,3,0.2216,4.2
SRR089542,PA,6,0.198,5.05
SRR089589,PA,6,0.2034,5.2
SRR089646,PA,7,0.2052,4.7
SRR089659,PA,7,0.2,4.7
SRR089662,PA,7,0.1998,4.7
SRR089663,PA,7,0.2054,4.65
SRR089664,PA,7,0.2018,4.7
SRR089665,PA,7,0.2002,4.65
SRR089666,PA,7,0.2242,4.6
SRR089694,PA,7,0.214,4.6
SRR089695,PA,7,0.2182,4.65
SRR089696,PA,7,0.2192,4.6
SRR089697,PA,7,0.2028,4.55
SRR089698,PA,7,0.2126,4.45
SRR089699,PA,7,0.193,4.35
SRR089700,PA,7,0.2412,4.4
SRR089701,PA,7,0.2294,4.3
SRR089702,PA,7,0.2146,4.25
